species,genus,order,suborder,family,subfamily,major_clade,outgroup,subgenus
Acrostichum_danaeifolium,Acrostichum,Polypodiales,Pteridineae,Pteridaceae,Parkerioideae,Pteridineae,FALSE,NA
Actiniopteris_dimorpha,Actiniopteris,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Actiniopteris_semiflabellata,Actiniopteris,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Actiniopteris_australis,Actiniopteris,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Actiniopteris_radiata,Actiniopteris,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_cryptogrammoides,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_moupinense,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_japonicum,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_lucidum,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_plumosum,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_siliculosum,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Onychium_tenuifrons,Onychium,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Anogramma_leptophylla,Anogramma,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Cerosora_microphylla,Cerosora,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Anogramma_lorentzii,Anogramma,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
Cosentinia_vellea,Cosentinia,Polypodiales,Pteridineae,Pteridaceae,Pteridoideae,Pteridineae,FALSE,NA
