species,locus,accession,seq_len,sci_name,ncbi_name,ncbi_taxid,outgroup_status
Abacopteris_aspera,matK,KF420356,733,Abacopteris aspera (C. Presl) Ching,Abacopteris aspera (C.Presl) Ching,1358739,in
Abacopteris_gymnopteridifrons,plastome,MT130561,66964,Abacopteris gymnopteridifrons (Hayata) Ching,Abacopteris gymnopteridifrons (Hayata) Ching,1033662,in
Abacopteris_nudata,rbcL,JN572370,1268,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,in
Abacopteris_nudata,rps4,JN572208,540,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,in
Abacopteris_nudata,rps4-trnS,JN572208,391,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,in
Abacopteris_nudata,trnL-trnF,JN572285,282,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,in
Abrodictyum_angustimarginatum,rbcL,MF782871,1206,Abrodictyum angustimarginatum (Bonap.) J. P. Roux,Abrodictyum angustimarginatum (Bonap.) J.P.Roux,2126960,in
Abrodictyum_asae-grayi,rbcL,MT215961,1309,Abrodictyum asae-grayi (Bosch) Ebihara & K. Iwats.,Abrodictyum asae-grayi (Bosch) Ebihara & K.Iwats.,381224,in
Abrodictyum_boninense,rbcL,AB257472,1206,Abrodictyum boninense Tagawa & K. Iwats. ex K. Iwats.,Abrodictyum boninense Tagawa & K.Iwats.,381218,in
Abrodictyum_brassii,rbcL,AB257483,1206,Abrodictyum brassii (Croxall) Ebihara & K. Iwats.,Abrodictyum brassii (Croxall) Ebihara & K.Iwats.,381221,in
Abrodictyum_caudatum,rbcL,EU122957,1238,Abrodictyum caudatum (Brack.) Ebihara & K. Iwats.,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,221313,in
Abrodictyum_cylindratum,rbcL,MF782872,1030,Abrodictyum cylindratum Dubuisson,Abrodictyum cylindratum Dubuisson,2126961,in
Abrodictyum_dentatum,rbcL,MT657794,1307,Abrodictyum dentatum (Bosch) Ebihara & K. Iwats.,Abrodictyum dentatum (Bosch) Ebihara & K.Iwats.,381233,in
Abrodictyum_dregei,rbcL,KX913317,1206,Abrodictyum dregei (Bosch) Dubuisson & Rouhan,Abrodictyum pseudorigidum Bauret & Dubuisson,1631470,in
Abrodictyum_elongatum,rbcL,AY175802,1206,Abrodictyum elongatum (A. Cunn.) Ebihara & K. Iwats.,Abrodictyum elongatum (A.Cunn.) Ebihara & K.Iwats.,221317,in
Abrodictyum_flavofuscum,rbcL,AY175804,1206,Abrodictyum flavofuscum (Bosch) Ebihara & K. Iwats.,Trichomanes flavofuscum,221319,in
Abrodictyum_laetum,rbcL,AB257478,1206,Abrodictyum laetum (Bosch) Ebihara & K. Iwats.,Abrodictyum laetum (Bosch) Ebihara & K.Iwats.,381247,in
Abrodictyum_obscurum,rbcL,AB257480,1206,Abrodictyum obscurum (Blume) Ebihara & K. Iwats.,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,381253,in
Abrodictyum_pachyphlebium,rbcL,KP153238,1206,Abrodictyum pachyphlebium (C. Chr.) Bauret & Dubuisson,Abrodictyum pachyphlebium (C.Chr.) Bauret & Dubuisson,1631471,in
Abrodictyum_parviflorum,rbcL,AY175803,1206,Abrodictyum parviflorum (Poir.) Bauret & Dubuisson,Abrodictyum meifolium (Bory ex Willd.) Ebihara & K.Iwats.,221325,in
Abrodictyum_rigidum,rbcL,KX913315,1206,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,192770,in
Abrodictyum_rigidum,rps4,AY095137,584,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,192770,in
Abrodictyum_rigidum,rps4-trnS,AY095137,523,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,192770,in
Abrodictyum_schlechteri,rbcL,MT657802,1219,Abrodictyum schlechteri (Brause) Ebihara & K. Iwats.,Abrodictyum schlechteri (Brause) Ebihara & K.Iwats.,381259,in
Abrodictyum_strictum,rbcL,AB257482,1206,Abrodictyum strictum (Menzies ex Hook. & Grev.) Ebihara & K. Iwats.,Abrodictyum strictum (Menzies ex Hook. & Grev.) Ebihara & K.Iwats.,381261,in
Abrodictyum_tamarisciforme,rps4,AY095135,581,Abrodictyum tamarisciforme (Jacq.) Ebihara & Dubuisson,Abrodictyum tamarisciforme,194425,in
Abrodictyum_tamarisciforme,rps4-trnS,AY095135,536,Abrodictyum tamarisciforme (Jacq.) Ebihara & Dubuisson,Abrodictyum tamarisciforme,194425,in
Acrostichum_aureum,plastome,MT130571,66722,Acrostichum aureum L.,Acrostichum aureum L.,29594,in
Acrostichum_danaeifolium,atpA,KM007556,1708,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,in
Acrostichum_danaeifolium,atpB,KM007673,1171,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,in
Acrostichum_danaeifolium,rbcL,KM008126,1253,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,in
Acrostichum_danaeifolium,rps4,KM007785,580,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,in
Acrostichum_danaeifolium,rps4-trnS,KM007785,349,Acrostichum danaeifolium Langsd. & Fisch.,Acrostichum danaeifolium Langsd. & Fisch.,262948,in
Acrostichum_speciosum,plastome,MT026711,66897,Acrostichum speciosum Willd.,Acrostichum speciosum Willd.,366450,in
Actiniopteris_australis,rbcL,JX144887,1170,Actiniopteris australis (L. fil.) Link,Actiniopteris australis (L.f.) Link,170705,in
Actiniopteris_dimorpha,atpA,EF452066,1506,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,in
Actiniopteris_dimorpha,atpB,EF452009,1278,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,in
Actiniopteris_dimorpha,rbcL,EF452130,1308,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,in
Actiniopteris_dimorpha,rps4,KJ416352,575,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,in
Actiniopteris_dimorpha,rps4-trnS,KJ416352,548,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,in
Actiniopteris_dimorpha,trnL-trnF,KM008014,559,Actiniopteris dimorpha Pic. Serm.,Actiniopteris dimorpha Pic.Serm.,451079,in
Actiniopteris_radiata,rbcL,AF336100,1325,Actiniopteris radiata (J. Koenig ex Sw.) Link,Actiniopteris radiata (Sw.) Link,164268,in
Actiniopteris_semiflabellata,atpA,KM007557,1687,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,in
Actiniopteris_semiflabellata,atpB,KM007674,1171,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,in
Actiniopteris_semiflabellata,rbcL,KJ416326,1309,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,in
Actiniopteris_semiflabellata,rps4,KJ416353,576,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,in
Actiniopteris_semiflabellata,rps4-trnS,KJ416353,548,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,in
Actiniopteris_semiflabellata,trnL-trnF,KM008015,559,Actiniopteris semiflabellata Pic. Serm.,Actiniopteris semiflabellata Pic.Serm.,1224206,in
Actinostachys_confusa,rbcL,AJ303403,1286,Actinostachys confusa (Selling) C. F. Reed,Schizaea confusa Selling,148573,in
Actinostachys_digitata,rbcL,AJ303405,1290,Actinostachys digitata (L.) Wall. ex C. F. Reed,Actinostachys digitata (L.) Wall.,32179,in
Actinostachys_laevigata,rbcL,AJ303404,1325,Actinostachys laevigata (Mett.) C. F. Reed,Actinostachys laevigata (Mett.) C.F.Reed,148575,in
Actinostachys_pennula,plastome,KU764518,50629,Actinostachys pennula (Sw.) Hook.,Actinostachys pennula (Sw.) Hook.,148577,in
Actinostachys_subtrijuga,rbcL,AJ303400,1296,Actinostachys subtrijuga (Mart.) C. Presl,Actinostachys subtrijuga (Mart.) C.Presl,148581,in
Acystopteris_japonica,plastome,MT130696,67255,Acystopteris japonica (Luerss.) Nakai,Acystopteris japonica (Luerss.) Nakai,86705,in
Acystopteris_taiwaniana,matK,JX873972,1211,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,Acystopteris taiwaniana (Tagawa) A.Love & D.Love,1033660,in
Acystopteris_taiwaniana,rbcL,JF832052,1309,Acystopteris taiwaniana (Tagawa) Á. & D. Löve,Acystopteris taiwaniana (Tagawa) A.Love & D.Love,1033660,in
Acystopteris_tenuisecta,plastome,MT130692,67265,Acystopteris tenuisecta (Blume) Tagawa,Acystopteris tenuisecta (Blume) Tagawa,872333,in
Adenophorus_abietinus,atpB,AF469778,1266,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,Adenophorus abietinus K.A.Wilson,185459,in
Adenophorus_abietinus,rbcL,AF468202,1311,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,Adenophorus abietinus K.A.Wilson,185459,in
Adenophorus_abietinus,trnL-trnF,AF469791,282,Adenophorus abietinus (D. C. Eaton) K. A. Wilson,Adenophorus abietinus K.A.Wilson,185459,in
Adenophorus_epigaeus,atpB,AF469779,1266,Adenophorus epigaeus (L. E. Bishop) W. H. Wagner,Adenophorus epigaeus (L.E.Bishop) W.H.Wagner,185460,in
Adenophorus_epigaeus,rbcL,AF468203,1311,Adenophorus epigaeus (L. E. Bishop) W. H. Wagner,Adenophorus epigaeus (L.E.Bishop) W.H.Wagner,185460,in
Adenophorus_epigaeus,trnL-trnF,AF469792,283,Adenophorus epigaeus (L. E. Bishop) W. H. Wagner,Adenophorus epigaeus (L.E.Bishop) W.H.Wagner,185460,in
Adenophorus_haaliloanus,atpB,AF469775,1266,Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haaliloanus (Brack.) K.A.Wilson,185461,in
Adenophorus_haaliloanus,rbcL,AF468200,1311,Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haaliloanus (Brack.) K.A.Wilson,185461,in
Adenophorus_haaliloanus,trnL-trnF,AF469788,281,Adenophorus haaliloanus (Brack.) K.A.Wilson,Adenophorus haaliloanus (Brack.) K.A.Wilson,185461,in
Adenophorus_hymenophylloides,atpB,AF469780,1266,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,Adenophorus hymenophylloides Hook. & Grev.,185462,in
Adenophorus_hymenophylloides,rbcL,AF468204,1311,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,Adenophorus hymenophylloides Hook. & Grev.,185462,in
Adenophorus_hymenophylloides,trnL-trnF,AF469793,279,Adenophorus hymenophylloides (Kaulf.) Hook. & Grev.,Adenophorus hymenophylloides Hook. & Grev.,185462,in
Adenophorus_oahuensis,atpB,AF469776,1266,Adenophorus oahuensis (Copel.) L. E. Bishop,Adenophorus oahuensis L.E.Bishop,175343,in
