species,seq_len_atpA,accession_atpA,seq_len_atpB,accession_atpB,seq_len_matK,accession_matK,seq_len_rbcL,accession_rbcL,seq_len_rps4,accession_rps4,seq_len_rps4-trnS,accession_rps4-trnS,seq_len_trnL-trnF,accession_trnL-trnF,total_seq_len,join_by,specimen_voucher,publication
Abacopteris_aspera,0,NA,0,NA,733,KF420356,NA,NA,0,NA,0,NA,0,NA,733,unjoined,NA,NA
Abacopteris_gymnopteridifrons,0,NA,0,NA,1326,MN159424,1308,MN159456,0,NA,0,NA,791,MN159524,3425,voucher,kuo857,NA
Abacopteris_nudata,0,NA,0,NA,0,NA,1268,JN572370,540,JN572208,391,JN572208,282,JN572285,2481,voucher,pe5649,NA
Abrodictyum_angustimarginatum,NA,NA,NA,NA,NA,NA,1206,MF782871,NA,NA,NA,NA,NA,NA,1206,unjoined,lbauret144,Taxonomic study of the fern genera Abrodictyum C.Presl and
Abrodictyum_asae-grayi,NA,NA,NA,NA,NA,NA,1309,MT215961,NA,NA,NA,NA,NA,NA,1309,unjoined,usschuettpelz1936,The Evolution of Overrepresentation: exploring the biogeography of
Abrodictyum_boninense,NA,NA,NA,NA,NA,NA,1206,AB257472,NA,NA,NA,NA,NA,NA,1206,unjoined,ebihara01112601,A global molecular phylogeny of the fern genus Trichomanes
Abrodictyum_brassii,NA,NA,NA,NA,NA,NA,1206,AB257483,NA,NA,NA,NA,NA,NA,1206,unjoined,ebihara01090904,A global molecular phylogeny of the fern genus Trichomanes
Abrodictyum_caudatum,NA,NA,NA,NA,NA,NA,1238,EU122957,NA,NA,NA,NA,NA,NA,1238,unjoined,jnitta031,Exploring the utility of three plastid loci for biocoding the filmy
Abrodictyum_cylindratum,NA,NA,NA,NA,NA,NA,1030,MF782872,NA,NA,NA,NA,NA,NA,1030,unjoined,grouhan1219,Taxonomic study of the fern genera Abrodictyum C.Presl and
Abrodictyum_dentatum,NA,NA,NA,NA,NA,NA,1307,MT657794,NA,NA,NA,NA,NA,NA,1307,unjoined,krwood16884,Biogeography of Pacific pteridophytes in a global context
Abrodictyum_dregei,NA,NA,NA,NA,NA,NA,1206,KX913317,NA,NA,NA,NA,NA,NA,1206,unjoined,merciersn,Discussion on the taxonomy of African fern Abrodictyum rigidum
Abrodictyum_elongatum,NA,NA,NA,NA,NA,NA,1206,AY175802,NA,NA,NA,NA,NA,NA,1206,unjoined,arsmith2604,Molecular systematics of the fern genus Trichomanes L.
Abrodictyum_flavofuscum,NA,NA,NA,NA,NA,NA,1206,AY175804,NA,NA,NA,NA,NA,NA,1206,unjoined,jmunzinger316,Molecular systematics of the fern genus Trichomanes L.
Abrodictyum_laetum,NA,NA,NA,NA,NA,NA,1206,AB257478,NA,NA,NA,NA,NA,NA,1206,unjoined,mcphersonal18221,A global molecular phylogeny of the fern genus Trichomanes
Abrodictyum_obscurum,NA,NA,NA,NA,NA,NA,1206,AB257480,NA,NA,NA,NA,NA,NA,1206,unjoined,ebihara00111806,A global molecular phylogeny of the fern genus Trichomanes
Abrodictyum_pachyphlebium,NA,NA,NA,NA,NA,NA,1206,KP153238,NA,NA,NA,NA,NA,NA,1206,unjoined,prouhan331,New circumscription of Trichomanes cupressoides Desvaux
Abrodictyum_parviflorum,NA,NA,NA,NA,NA,NA,1206,AY175803,NA,NA,NA,NA,NA,NA,1206,unjoined,jydubuissonhr199921,Molecular systematics of the fern genus Trichomanes L.
Abrodictyum_rigidum,0,NA,0,NA,0,NA,1206,KX913315,584,AY095137,523,AY095137,0,NA,2313,monophy,NA,NA
Abrodictyum_schlechteri,NA,NA,NA,NA,NA,NA,1219,MT657802,NA,NA,NA,NA,NA,NA,1219,unjoined,gmplunkett3279,Biogeography of Pacific pteridophytes in a global context
Abrodictyum_strictum,NA,NA,NA,NA,NA,NA,1206,AB257482,NA,NA,NA,NA,NA,NA,1206,unjoined,ebihara01122201,A global molecular phylogeny of the fern genus Trichomanes
Abrodictyum_tamarisciforme,0,NA,0,NA,0,NA,0,NA,581,AY095135,536,AY095135,0,NA,1117,voucher,jydubuissonhr199932,NA
Acrostichum_aureum,NA,NA,NA,NA,NA,NA,1309,MT657438,NA,NA,NA,NA,NA,NA,1309,unjoined,dhlorence9917,Biogeography of Pacific pteridophytes in a global context
Acrostichum_danaeifolium,1708,KM007556,1171,KM007673,0,NA,1253,KM008126,580,KM007785,349,KM007785,0,NA,5061,voucher,1003w,NA
Acrostichum_speciosum,NA,NA,NA,NA,NA,NA,1286,MT657441,NA,NA,NA,NA,NA,NA,1286,unjoined,dhlorence9762,Biogeography of Pacific pteridophytes in a global context
Actiniopteris_australis,NA,NA,NA,NA,NA,NA,1170,JX144887,NA,NA,NA,NA,NA,NA,1170,unjoined,hennequinr222,Towards a natural classification of Pteridaceae: inferring the
Actiniopteris_dimorpha,1506,EF452066,1278,EF452009,0,NA,1308,EF452130,575,KJ416352,548,KJ416352,559,KM008014,5774,voucher,schneidersn,NA
Actiniopteris_radiata,NA,NA,NA,NA,NA,NA,1325,AF336100,NA,NA,NA,NA,NA,NA,1325,unjoined,NA,Phylogenetic placements of Loxoscaphe thecifera (Aspleniaceae) and
Actiniopteris_semiflabellata,1687,KM007557,1171,KM007674,0,NA,1309,KJ416326,576,KJ416353,548,KJ416353,559,KM008015,5850,voucher,smithsn,NA
Actinostachys_confusa,NA,NA,NA,NA,NA,NA,1286,AJ303403,NA,NA,NA,NA,NA,NA,1286,unjoined,rbollisn,Schizaeaceae: a phylogenetic approach
Actinostachys_digitata,NA,NA,NA,NA,NA,NA,1290,AJ303405,NA,NA,NA,NA,NA,NA,1290,unjoined,klackenberglundin590,Schizaeaceae: a phylogenetic approach
Actinostachys_laevigata,NA,NA,NA,NA,NA,NA,1325,AJ303404,NA,NA,NA,NA,NA,NA,1325,unjoined,hsmckee2490,Schizaeaceae: a phylogenetic approach
