species,atpA,atpB,matK,rbcL,rps4,rps4-trnS,trnL-trnF,plastome,join_by,specimen_voucher,publication,outgroup
Abacopteris_aspera,NA,NA,KF420356,NA,NA,NA,NA,NA,unjoined,NA,NA,FALSE
Abacopteris_gymnopteridifrons,NA,NA,NA,NA,NA,NA,NA,MT130561,NA,NA,NA,FALSE
Abacopteris_nudata,NA,NA,NA,JN572370,JN572208,JN572208,JN572285,NA,voucher,pe5649,NA,FALSE
Abrodictyum_angustimarginatum,NA,NA,NA,MF782871,NA,NA,NA,NA,unjoined,lbauret144,Taxonomic study of the fern genera Abrodictyum C.Presl and,FALSE
Abrodictyum_asae-grayi,NA,NA,NA,MT215961,NA,NA,NA,NA,unjoined,usschuettpelz1936,The Evolution of Overrepresentation: exploring the biogeography of,FALSE
Abrodictyum_boninense,NA,NA,NA,AB257472,NA,NA,NA,NA,unjoined,ebihara01112601,A global molecular phylogeny of the fern genus Trichomanes,FALSE
Abrodictyum_brassii,NA,NA,NA,AB257483,NA,NA,NA,NA,unjoined,ebihara01090904,A global molecular phylogeny of the fern genus Trichomanes,FALSE
Abrodictyum_caudatum,NA,NA,NA,EU122957,NA,NA,NA,NA,unjoined,jnitta031,Exploring the utility of three plastid loci for biocoding the filmy,FALSE
Abrodictyum_cylindratum,NA,NA,NA,MF782872,NA,NA,NA,NA,unjoined,grouhan1219,Taxonomic study of the fern genera Abrodictyum C.Presl and,FALSE
Abrodictyum_dentatum,NA,NA,NA,MT657794,NA,NA,NA,NA,unjoined,krwood16884,Biogeography of Pacific pteridophytes in a global context,FALSE
Abrodictyum_dregei,NA,NA,NA,KX913317,NA,NA,NA,NA,unjoined,merciersn,Discussion on the taxonomy of African fern Abrodictyum rigidum,FALSE
Abrodictyum_elongatum,NA,NA,NA,AY175802,NA,NA,NA,NA,unjoined,arsmith2604,Molecular systematics of the fern genus Trichomanes L.,FALSE
Abrodictyum_flavofuscum,NA,NA,NA,AY175804,NA,NA,NA,NA,unjoined,jmunzinger316,Molecular systematics of the fern genus Trichomanes L.,FALSE
Abrodictyum_laetum,NA,NA,NA,AB257478,NA,NA,NA,NA,unjoined,mcphersonal18221,A global molecular phylogeny of the fern genus Trichomanes,FALSE
Abrodictyum_obscurum,NA,NA,NA,AB257480,NA,NA,NA,NA,unjoined,ebihara00111806,A global molecular phylogeny of the fern genus Trichomanes,FALSE
Abrodictyum_pachyphlebium,NA,NA,NA,KP153238,NA,NA,NA,NA,unjoined,prouhan331,New circumscription of Trichomanes cupressoides Desvaux,FALSE
Abrodictyum_parviflorum,NA,NA,NA,AY175803,NA,NA,NA,NA,unjoined,jydubuissonhr199921,Molecular systematics of the fern genus Trichomanes L.,FALSE
Abrodictyum_rigidum,NA,NA,NA,KX913315,AY095137,AY095137,NA,NA,monophy,NA,NA,FALSE
Abrodictyum_schlechteri,NA,NA,NA,MT657802,NA,NA,NA,NA,unjoined,gmplunkett3279,Biogeography of Pacific pteridophytes in a global context,FALSE
Abrodictyum_strictum,NA,NA,NA,AB257482,NA,NA,NA,NA,unjoined,ebihara01122201,A global molecular phylogeny of the fern genus Trichomanes,FALSE
Abrodictyum_tamarisciforme,NA,NA,NA,NA,AY095135,AY095135,NA,NA,voucher,jydubuissonhr199932,NA,FALSE
Acrostichum_aureum,NA,NA,NA,NA,NA,NA,NA,MT130571,NA,NA,NA,FALSE
Acrostichum_danaeifolium,KM007556,KM007673,NA,KM008126,KM007785,KM007785,NA,NA,voucher,1003w,NA,FALSE
Acrostichum_speciosum,NA,NA,NA,NA,NA,NA,NA,MT026711,NA,NA,NA,FALSE
